Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),Alpha (ppm/cm),Alpha + Noise (ppm/cm),Pressure (Torr),Temperature (C)
0,13155.0,13155.000088202618,5.647399149184303e-07,-9.911083185877572e-08,20.000000000000004,25.0
0,13155.005,13155.00502000786,6.858337231141754e-07,2.194057087600046e-05,20.000000000000004,25.0
0,13155.009999999998,13155.010048936898,8.908758479896345e-07,-3.6498361669271e-06,20.000000000000004,25.0
0,13155.014999999998,13155.015112044657,1.3053748459947288e-06,-5.430606856922462e-06,20.000000000000004,25.0
0,13155.019999999997,13155.020093377896,2.2641058520022532e-06,-9.004872336576296e-06,20.000000000000004,25.0
0,13155.024999999996,13155.024951136102,4.544577842159272e-06,-2.7107100510385794e-05,20.000000000000004,25.0
0,13155.029999999995,13155.030047504417,9.601804153986173e-06,-2.0792309742258518e-05,20.000000000000004,25.0
0,13155.034999999994,13155.034992432134,1.9407689157696038e-05,-3.4524959894825413e-06,20.000000000000004,25.0
0,13155.039999999994,13155.039994839051,3.5332408548900656e-05,6.056302940212493e-05,20.000000000000004,25.0
0,13155.044999999993,13155.045020529918,5.614028365043552e-05,7.349658093803424e-05,20.000000000000004,25.0
0,13155.049999999992,13155.050007202171,7.662886563523867e-05,0.00010328511948535943,20.000000000000004,25.0
0,13155.054999999991,13155.055072713667,8.916818771163675e-05,6.334076944308505e-05,20.000000000000004,25.0
0,13155.05999999999,13155.060038051877,8.818892826381734e-05,5.002345125305105e-05,20.000000000000004,25.0
0,13155.06499999999,13155.06500608374,7.415613252675944e-05,6.135970442007623e-05,20.000000000000004,25.0
0,13155.069999999989,13155.070022193151,5.3221856162329655e-05,5.66304358956286e-05,20.000000000000004,25.0
0,13155.074999999988,13155.075016683704,3.2904680934601865e-05,4.257272600246724e-05,20.000000000000004,25.0
0,13155.079999999987,13155.080074703941,1.7868605786841506e-05,3.818550897008326e-05,20.000000000000004,25.0
0,13155.084999999986,13155.084989742074,8.872639576698923e-06,1.4383933474978875e-05,20.000000000000004,25.0
0,13155.089999999986,13155.09001565337,4.354829073126598e-06,3.8139727551018734e-05,20.000000000000004,25.0
0,13155.094999999985,13155.094957295198,2.375219330896182e-06,-1.940408753410003e-06,20.000000000000004,25.0
0,13155.099999999984,13155.099872350493,1.5788481004859282e-06,-1.6122902815261477e-05,20.000000000000004,25.0
0,13155.104999999983,13155.105032680913,1.2671784883206528e-06,-3.1326385681855774e-05,20.000000000000004,25.0
0,13155.109999999982,13155.110043221792,1.1476777099319533e-06,-1.6086697184710552e-05,20.000000000000004,25.0
0,13155.114999999982,13155.11496289173,1.1136630045945713e-06,5.807573185552285e-06,20.000000000000004,25.0
0,13155.11999999998,13155.120113487712,1.129007146148153e-06,-1.6100499690281423e-05,20.000000000000004,25.0
0,13155.12499999998,13155.124927281697,1.1824619247068753e-06,1.9342969177589805e-05,20.000000000000004,25.0
0,13155.12999999998,13155.130002287906,1.2726429430373666e-06,2.865326093289871e-05,20.000000000000004,25.0
0,13155.134999999978,13155.134990640787,1.4039982839197285e-06,-4.4534882309043234e-05,20.000000000000004,25.0
0,13155.139999999978,13155.140076638938,1.5868564393199079e-06,1.8338128726942767e-05,20.000000000000004,25.0
0,13155.144999999977,13155.145073467915,1.8323084229434305e-06,-4.158661122057894e-05,20.000000000000004,25.0
0,13155.149999999976,13155.150007747347,2.193519852899557e-06,9.977331077251483e-06,20.000000000000004,25.0
0,13155.154999999975,13155.1550189081,2.7436500308426096e-06,2.6490060203102868e-05,20.000000000000004,25.0
0,13155.159999999974,13155.159955610687,3.6940297624316923e-06,4.951386864832262e-06,20.000000000000004,25.0
0,13155.164999999974,13155.16490096015,5.641648879644589e-06,-1.9167522708141183e-05,20.000000000000004,25.0
