Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),Alpha (ppm/cm),Alpha + Noise (ppm/cm),Noise (%),Pressure (Torr),Temperature (C)
0,13155.0,13154.999928714304,5.381735004741614e-05,0.0006515393991403412,0.09200262314327354,80.00000000000001,25.0
0,13155.005,13155.004961881246,5.5085997804797356e-05,-9.585609872881634e-05,-0.02323332198454455,80.00000000000001,25.0
0,13155.009999999998,13155.010034196372,5.724533413502863e-05,5.1662730718474154e-05,-0.0008592859491649164,80.00000000000001,25.0
0,13155.014999999998,13155.015073923842,6.101665199621781e-05,0.000940558894701267,0.13538097451312522,80.00000000000001,25.0
0,13155.019999999997,13155.019994553224,2.5206091379081767e-05,0.0002507864450411208,0.03472179802968656,80.00000000000001,25.0
0,13155.024999999996,13155.025022234,3.810926734053844e-05,-0.00023249883759978072,-0.041652563321231996,80.00000000000001,25.0
0,13155.029999999995,13155.029980354502,6.055748246271777e-05,0.0001382321524247894,0.011955847034827435,80.00000000000001,25.0
0,13155.034999999994,13155.034985091428,9.696211372314779e-05,0.00017325918865033812,0.011743804736855377,80.00000000000001,25.0
0,13155.039999999994,13155.040044872709,0.0001490473733513732,-0.00013893665866643,-0.04432710221953895,80.00000000000001,25.0
0,13155.044999999993,13155.044992821653,0.00021112306778874921,-0.00041554830943147606,-0.09645856404421378,80.00000000000001,25.0
0,13155.049999999992,13155.049959473638,0.000267778017257189,0.0006738182833004057,0.062498563729511854,80.00000000000001,25.0
0,13155.054999999991,13155.055020963728,0.00029899718734572434,0.0002732769910226454,-0.003958906205776193,80.00000000000001,25.0
0,13155.05999999999,13155.059982609133,0.0002918586629089387,0.0006968812536894346,0.062341921032759366,80.00000000000001,25.0
0,13155.06499999999,13155.064987335763,0.0002495758037310306,0.00030939031932775406,0.009206774863490546,80.00000000000001,25.0
0,13155.069999999989,13155.070098935217,0.00018916972209385212,0.0009808935418227757,0.12186377987998395,80.00000000000001,25.0
0,13155.074999999988,13155.074963086885,0.0001300971623680918,0.000274979414935046,0.02230057817558238,80.00000000000001,25.0
0,13155.079999999987,13155.07999656562,8.429207605600249e-05,0.000379475186400805,0.04543519935482608,80.00000000000001,25.0
0,13155.084999999986,13155.085063234454,5.417749040641429e-05,-3.1049837646890056e-05,-0.013118367904104668,80.00000000000001,25.0
0,13155.089999999986,13155.089981713783,3.6525827154267226e-05,-0.0002492392712575293,-0.04398555933578021,80.00000000000001,25.0
0,13155.094999999985,13155.094981736342,2.6875485987694355e-05,1.6664146020450538e-05,-0.0015717507229654245,80.00000000000001,25.0
0,13155.099999999984,13155.0999894615,2.178271295915439e-05,0.0003055656207887941,0.04368045643150376,80.00000000000001,25.0
0,13155.104999999983,13155.1049485769,1.918154076889637e-05,0.0002451722702976175,0.034784963938099586,80.00000000000001,25.0
0,13155.109999999982,13155.11001161341,1.799330177141831e-05,-0.0003700529538624128,-0.05972888815698922,80.00000000000001,25.0
0,13155.114999999982,13155.114914512435,1.7696386988626228e-05,0.0005003472590812118,0.07429062782993137,80.00000000000001,25.0
0,13155.11999999998,13155.119982383587,1.8054759626402697e-05,0.00011358257989706948,0.01470384112715602,80.00000000000001,25.0
0,13155.12499999998,13155.12496930317,1.898201340989088e-05,-0.0003766989578068301,-0.06090403948634816,80.00000000000001,25.0
0,13155.12999999998,13155.129944506703,2.0483575862129795e-05,0.00019047175501729762,0.026164934703944296,80.00000000000001,25.0
0,13155.134999999978,13155.135088011391,2.2640407952178508e-05,-0.00025121864306707907,-0.04215295571501029,80.00000000000001,25.0
0,13155.139999999978,13155.140076556729,2.560049823411869e-05,-0.0004578430026880829,-0.07441263091081876,80.00000000000001,25.0
0,13155.144999999977,13155.14500973279,2.9696793988458648e-05,4.9432802626755074e-05,0.0030378075693494933,80.00000000000001,25.0
