Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),Alpha (ppm/cm),Alpha + Noise (ppm/cm),Noise (%),Pressure (Torr),Temperature (C)
0,13155.0,13155.000013016495,2.2649614783775816e-06,-0.00013307095677155112,-0.03703572159755708,40.00000000000001,25.0
0,13155.005,13155.004931028589,2.7343442384253914e-06,-2.40408444999752e-05,-0.007327237651767825,40.00000000000001,25.0
0,13155.009999999998,13155.010031109125,3.4732350331598e-06,-8.086632439546425e-05,-0.023080173268494344,40.00000000000001,25.0
0,13155.014999999998,13155.014982769226,4.782203497499839e-06,-0.0002451634941158405,-0.0683995748580199,40.00000000000001,25.0
0,13155.019999999997,13155.020012805411,7.361438536461349e-06,-6.206163489845587e-05,-0.01899816141516969,40.00000000000001,25.0
0,13155.024999999996,13155.025043376167,1.2686061436086794e-05,0.00022305306927504736,0.05756856004218197,40.00000000000001,25.0
0,13155.029999999995,13155.029988586768,2.3329886822036558e-05,0.0002890447989959285,0.07271494248421209,40.00000000000001,25.0
0,13155.034999999994,13155.035036665007,4.257278839541675e-05,-6.438008563727992e-05,-0.029268481848392324,40.00000000000001,25.0
0,13155.039999999994,13155.040054489058,7.240871072481962e-05,0.00013972041036882795,0.018420367634186335,40.00000000000001,25.0
0,13155.044999999993,13155.045008340361,0.00011016235989480285,0.0002434058319263926,0.03646310749331648,40.00000000000001,25.0
0,13155.049999999992,13155.050069055405,0.00014640046947837502,0.00019092899248669465,0.01218557499451857,40.00000000000001,25.0
0,13155.054999999991,13155.055134522565,0.00016783879800731565,0.0003380007554589431,0.046566136796261384,40.00000000000001,25.0
0,13155.05999999999,13155.060131591697,0.0001651523150959186,-5.325236439445878e-05,-0.059768131105236454,40.00000000000001,25.0
0,13155.06499999999,13155.064949587364,0.00013959835328272068,5.3551848502789056e-05,-0.023547292076500106,40.00000000000001,25.0
0,13155.069999999989,13155.07006072842,0.00010207922151298459,6.431342281477411e-05,-0.010334903140150257,40.00000000000001,25.0
0,13155.074999999988,13155.075072374888,6.561329097960725e-05,9.466697814579343e-05,0.00795076638326171,40.00000000000001,25.0
0,13155.079999999987,13155.080062454566,3.820554690633088e-05,-4.447317079180266e-05,-0.022625671073190523,40.00000000000001,25.0
0,13155.084999999986,13155.085004910197,2.1243089368911092e-05,0.00017990902882673087,0.043420162487261625,40.00000000000001,25.0
